Date,Description,Debit,Credit,Balance
01/01/2026,TRF TO LEKKI PHASE 1 LANDLORD - RENT PAYMENT,100000,,150000
01/02/2026,TRF TO LEKKI PHASE 1 LANDLORD - RENT PAYMENT,100000,,50000
01/02/2026,POS - PARK N SHOP SUPERMARKET,24400.0,,25600.0
01/02/2026,CHOWDECK ORDER - RESTAURANT,5700.0,,19900.0
01/03/2026,CHOWDECK ORDER - RESTAURANT,5100.0,,14800.0
02/01/2026,GLOVO GROCERY DELIVERY,9400.0,,5400.0
02/01/2026,GLOVO FOOD DELIVERY ORDER,5800.0,,-400.0
02/01/2026,POS - KFC AJAH LEKKI,6200.0,,-6600.0
02/01/2026,POS - OANDO FILLING STATION,13900.0,,-20500.0
02/02/2026,TRF TO COWRYWISE INVESTMENT,28300.0,,-48800.0
03/01/2026,POS - BARCELOS LEKKI PHASE 1,11500.0,,-60300.0
03/01/2026,NIP TRF - BRT BUS TICKET,1100.0,,-61400.0
03/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,33400.0,,-94800.0
03/01/2026,CHOWDECK ORDER - RESTAURANT,5700.0,,-100500.0
03/02/2026,POS PURCHASE - SHOPRITE LEKKI MALL,20200.0,,-120700.0
03/02/2026,JUMIA FOOD DELIVERY,6400.0,,-127100.0
03/02/2026,POS - KFC AJAH LEKKI,7000.0,,-134100.0
03/03/2026,POS - PHARMACY DRUGSTORE,4000.0,,-138100.0
04/01/2026,NETFLIX SUBSCRIPTION MONTHLY,5900,,-144000.0
04/01/2026,POS - KFC AJAH LEKKI,7600.0,,-151600.0
04/02/2026,NETFLIX SUBSCRIPTION MONTHLY,5900,,-157500.0
04/02/2026,POS - CHICKEN REPUBLIC IKEJA,5900.0,,-163400.0
04/02/2026,POS - COLD STONE CREAMERY IKEJA,4400.0,,-167800.0
04/02/2026,POS - PHARMACIES HEALTH SHOP,7500.0,,-175300.0
04/03/2026,NETFLIX SUBSCRIPTION MONTHLY,5900,,-181200.0
04/03/2026,JUMIA FOOD DELIVERY,8100.0,,-189300.0
04/03/2026,GLOVO FOOD DELIVERY ORDER,7700.0,,-197000.0
04/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,34400.0,,-231400.0
04/03/2026,JUMIA FOOD DELIVERY,7900.0,,-239300.0
04/03/2026,OPay Transfer In - Chidi Eze,,20000,-219300.0
05/02/2026,POS - TASTEE FRIED CHICKEN,3800.0,,-223100.0
05/02/2026,POS - PARK N SHOP SUPERMARKET,24600.0,,-247700.0
05/03/2026,TRF TO LEKKI PHASE 1 LANDLORD - RENT PAYMENT,100000,,-347700.0
05/03/2026,BARBER SHOP - CASH PAYMENT,3900.0,,-351600.0
05/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,17300.0,,-368900.0
05/03/2026,NIP TRF TO MAMA ACCOUNT - FAMILY,26500.0,,-395400.0
06/01/2026,POS - CHICKEN REPUBLIC IKEJA,5500.0,,-400900.0
06/01/2026,CHOWDECK ORDER - RESTAURANT,5800.0,,-406700.0
06/02/2026,CHOWDECK ORDER - RESTAURANT,5300.0,,-412000.0
06/03/2026,POS - TASTEE FRIED CHICKEN,3700.0,,-415700.0
06/03/2026,POS - TASTEE FRIED CHICKEN,3900.0,,-419600.0
06/03/2026,POS - CHICKEN REPUBLIC IKEJA,4900.0,,-424500.0
07/01/2026,POS - SPAR SUPERMARKET ONIRU,20100.0,,-444600.0
07/01/2026,JUMIA ONLINE PURCHASE - ELECTRONICS,35200.0,,-479800.0
07/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,19000.0,,-498800.0
07/03/2026,POS - KFC AJAH LEKKI,6300.0,,-505100.0
07/03/2026,POS - BARCELOS LEKKI PHASE 1,14300.0,,-519400.0
07/03/2026,CHOWDECK ORDER - RESTAURANT,5200.0,,-524600.0
08/01/2026,SPOTIFY PREMIUM MONTHLY,3200,,-527800.0
08/02/2026,SPOTIFY PREMIUM MONTHLY,3200,,-531000.0
08/02/2026,POS - KFC AJAH LEKKI,5800.0,,-536800.0
08/02/2026,POS - MOBIL FILLING STATION,15400.0,,-552200.0
08/02/2026,GLOVO GROCERY DELIVERY,10400.0,,-562600.0
08/02/2026,POS PURCHASE - SHOPRITE LEKKI MALL,27900.0,,-590500.0
08/03/2026,SPOTIFY PREMIUM MONTHLY,3200,,-593700.0
08/03/2026,POS - KFC AJAH LEKKI,7600.0,,-601300.0
08/03/2026,POS - CHICKEN REPUBLIC IKEJA,5900.0,,-607200.0
08/03/2026,POS - CHICKEN REPUBLIC VI LAGOS,7400.0,,-614600.0
08/03/2026,POS - CHICKEN REPUBLIC VI LAGOS,7100.0,,-621700.0
09/01/2026,POS - SPAR SUPERMARKET ONIRU,21900.0,,-643600.0
09/01/2026,POS - KFC AJAH LEKKI,6500.0,,-650100.0
09/02/2026,POS - COLD STONE CREAMERY IKEJA,4700.0,,-654800.0
09/03/2026,NIP TRF TO SISTER NGOZI,16300.0,,-671100.0
09/03/2026,POS - SPAR SUPERMARKET ONIRU,20400.0,,-691500.0
10/01/2026,CHOWDECK ORDER - RESTAURANT,5200.0,,-696700.0
10/01/2026,GLOVO GROCERY DELIVERY,9700.0,,-706400.0
10/02/2026,EKEDC PREPAID TOKEN - ELECTRICITY,15000,,-721400.0
10/03/2026,EKEDC PREPAID TOKEN - ELECTRICITY,15000,,-736400.0
10/03/2026,POS - TOTAL ENERGIES FILLING STATION,16300.0,,-752700.0
10/03/2026,CHOWDECK ORDER - RESTAURANT,5700.0,,-758400.0
10/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,31200.0,,-789600.0
11/02/2026,POS - TASTEE FRIED CHICKEN,3800.0,,-793400.0
11/02/2026,NIP TRF TO MAMA ACCOUNT - FAMILY,34100.0,,-827500.0
11/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,18200.0,,-845700.0
12/01/2026,CHATGPT PLUS SUBSCRIPTION,12800,,-858500.0
12/01/2026,EKEDC PREPAID TOKEN - ELECTRICITY,15000,,-873500.0
12/01/2026,UBER TRIP - AIRPORT LAGOS,9100.0,,-882600.0
12/02/2026,CHATGPT PLUS SUBSCRIPTION,12800,,-895400.0
12/02/2026,POS - BOOK STORE IKEJA,6800.0,,-902200.0
12/02/2026,GLOVO FOOD DELIVERY ORDER,6200.0,,-908400.0
12/02/2026,POS - KFC AJAH LEKKI,7600.0,,-916000.0
12/02/2026,POS - CONOIL FILLING STATION LEKKI,16600.0,,-932600.0
12/03/2026,CHATGPT PLUS SUBSCRIPTION,12800,,-945400.0
12/03/2026,POS - MOBIL FILLING STATION,13200.0,,-958600.0
12/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,33000.0,,-991600.0
13/01/2026,GLOVO FOOD DELIVERY ORDER,7800.0,,-999400.0
13/01/2026,ATM CASH WITHDRAWAL - GTB ATM,21100.0,,-1020500.0
13/01/2026,POS - TASTEE FRIED CHICKEN,4300.0,,-1024800.0
13/02/2026,JUMIA FOOD DELIVERY,6100.0,,-1030900.0
13/02/2026,BOLT RIDE - IKEJA TO LEKKI,3100.0,,-1034000.0
13/03/2026,BARBER SHOP - CASH PAYMENT,3400.0,,-1037400.0
13/03/2026,POS - COLD STONE CREAMERY IKEJA,4400.0,,-1041800.0
14/02/2026,JUMIA FOOD DELIVERY,8100.0,,-1049900.0
14/03/2026,POS - BARCELOS LEKKI PHASE 1,13100.0,,-1063000.0
15/01/2026,LAWMA WASTE MANAGEMENT BILL,8000,,-1071000.0
15/02/2026,LAWMA WASTE MANAGEMENT BILL,8000,,-1079000.0
15/02/2026,POS - BARCELOS LEKKI PHASE 1,12900.0,,-1091900.0
15/03/2026,UBER TRIP - AIRPORT LAGOS,8700.0,,-1100600.0
16/01/2026,ADOBE CREATIVE CLOUD ANNUAL/12,6000,,-1106600.0
16/01/2026,GLOVO FOOD DELIVERY ORDER,5900.0,,-1112500.0
16/01/2026,UBER TRIP - LEKKI PHASE 1,3100.0,,-1115600.0
16/01/2026,POS - SPAR SUPERMARKET ONIRU,18100.0,,-1133700.0
16/02/2026,ADOBE CREATIVE CLOUD ANNUAL/12,6000,,-1139700.0
16/02/2026,POS - COLD STONE CREAMERY IKEJA,3700.0,,-1143400.0
16/03/2026,ADOBE CREATIVE CLOUD ANNUAL/12,6000,,-1149400.0
16/03/2026,LAWMA WASTE MANAGEMENT BILL,8000,,-1157400.0
17/01/2026,POS - CHICKEN REPUBLIC VI LAGOS,7600.0,,-1165000.0
17/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,20000.0,,-1185000.0
17/01/2026,UBER TRIP - AIRPORT LAGOS,7900.0,,-1192900.0
17/02/2026,POS - CONOIL FILLING STATION LEKKI,15900.0,,-1208800.0
17/03/2026,POS - SPAR SUPERMARKET ONIRU,21500.0,,-1230300.0
18/01/2026,POS - COLD STONE CREAMERY IKEJA,4000.0,,-1234300.0
18/01/2026,POS - DOMINOS PIZZA VICTORIA ISLAND,22600.0,,-1256900.0
18/01/2026,GLOVO GROCERY DELIVERY,9900.0,,-1266800.0
18/01/2026,POS - CHICKEN REPUBLIC IKEJA,4700.0,,-1271500.0
18/02/2026,POS - BOOK STORE IKEJA,6600.0,,-1278100.0
18/02/2026,BOLT RIDE - VI TO IKEJA,4300.0,,-1282400.0
18/02/2026,POS - CHICKEN REPUBLIC VI LAGOS,7500.0,,-1289900.0
18/03/2026,POS - CHICKEN REPUBLIC IKEJA,5200.0,,-1295100.0
18/03/2026,GYM MEMBERSHIP - RCCG SPORTS CENTRE,13700.0,,-1308800.0
19/01/2026,BOLT RIDE - VI TO IKEJA,3900.0,,-1312700.0
19/01/2026,POS - CHICKEN REPUBLIC VI LAGOS,8400.0,,-1321100.0
19/01/2026,POS - CHICKEN REPUBLIC IKEJA,5300.0,,-1326400.0
19/02/2026,POS - CHICKEN REPUBLIC VI LAGOS,7900.0,,-1334300.0
19/03/2026,POS - BOOK STORE IKEJA,5600.0,,-1339900.0
20/01/2026,APPLE ICLOUD+ STORAGE PLAN,1100,,-1341000.0
20/02/2026,APPLE ICLOUD+ STORAGE PLAN,1100,,-1342100.0
20/02/2026,SPECTRANET INTERNET SUBSCRIPTION,15000,,-1357100.0
20/02/2026,POS - TASTEE FRIED CHICKEN,3900.0,,-1361000.0
20/02/2026,POS - PARK N SHOP SUPERMARKET,20700.0,,-1381700.0
20/03/2026,APPLE ICLOUD+ STORAGE PLAN,1100,,-1382800.0
20/03/2026,POS - KFC AJAH LEKKI,5900.0,,-1388700.0
20/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,32600.0,,-1421300.0
20/03/2026,POS - TASTEE FRIED CHICKEN,4500.0,,-1425800.0
20/03/2026,POS - CHICKEN REPUBLIC VI LAGOS,7000.0,,-1432800.0
21/01/2026,SPECTRANET INTERNET SUBSCRIPTION,15000,,-1447800.0
21/02/2026,POS - KFC AJAH LEKKI,5800.0,,-1453600.0
21/02/2026,POS - KFC AJAH LEKKI,6700.0,,-1460300.0
21/02/2026,POS PURCHASE - SHOPRITE LEKKI MALL,21000.0,,-1481300.0
21/02/2026,POS - BARCELOS LEKKI PHASE 1,13900.0,,-1495200.0
21/03/2026,SPECTRANET INTERNET SUBSCRIPTION,15000,,-1510200.0
21/03/2026,UBER TRIP - AIRPORT LAGOS,9400.0,,-1519600.0
21/03/2026,POS - PARK N SHOP SUPERMARKET,24000.0,,-1543600.0
21/03/2026,JUMIA ONLINE PURCHASE - ELECTRONICS,34800.0,,-1578400.0
22/01/2026,GLOVO FOOD DELIVERY ORDER,7300.0,,-1585700.0
22/01/2026,POS - TASTEE FRIED CHICKEN,3600.0,,-1589300.0
22/01/2026,POS - SPAR SUPERMARKET ONIRU,17800.0,,-1607100.0
22/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,35200.0,,-1642300.0
22/02/2026,GLOVO GROCERY DELIVERY,10100.0,,-1652400.0
22/03/2026,POS - TOTAL ENERGIES FILLING STATION,17500.0,,-1669900.0
22/03/2026,POS - CHICKEN REPUBLIC VI LAGOS,8600.0,,-1678500.0
22/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,34700.0,,-1713200.0
23/01/2026,POS - CONOIL FILLING STATION LEKKI,16700.0,,-1729900.0
23/01/2026,POS - CONOIL FILLING STATION LEKKI,17400.0,,-1747300.0
23/02/2026,KONGA ONLINE SHOPPING,12300.0,,-1759600.0
23/02/2026,BARBER SHOP - CASH PAYMENT,3800.0,,-1763400.0
23/02/2026,POS - BARCELOS LEKKI PHASE 1,14100.0,,-1777500.0
23/02/2026,POS - TASTEE FRIED CHICKEN,4600.0,,-1782100.0
24/01/2026,DSTV COMPACT+ SUBSCRIPTION,10500,,-1792600.0
24/01/2026,ATM CASH WITHDRAWAL - GTB ATM,20000.0,,-1812600.0
24/01/2026,POS - SPAR SUPERMARKET ONIRU,17700.0,,-1830300.0
24/02/2026,DSTV COMPACT+ SUBSCRIPTION,10500,,-1840800.0
24/03/2026,DSTV COMPACT+ SUBSCRIPTION,10500,,-1851300.0
24/03/2026,JUMIA FOOD DELIVERY,7700.0,,-1859000.0
25/01/2026,Salary Payment - Glovo Nigeria Ltd,,850000,-1009000.0
25/01/2026,POS - OANDO FILLING STATION,18200.0,,-1027200.0
25/01/2026,BOLT RIDE - VI TO IKEJA,4300.0,,-1031500.0
25/01/2026,POS - DOMINOS PIZZA VICTORIA ISLAND,19900.0,,-1051400.0
25/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,20700.0,,-1072100.0
25/02/2026,Salary Payment - Glovo Nigeria Ltd,,850000,-222100.0
25/02/2026,GLOVO FOOD DELIVERY ORDER,6300.0,,-228400.0
25/02/2026,POS - OANDO FILLING STATION,14800.0,,-243200.0
25/02/2026,POS - TASTEE FRIED CHICKEN,3700.0,,-246900.0
25/02/2026,ATM CASH WITHDRAWAL - GTB ATM,22100.0,,-269000.0
25/03/2026,Salary Payment - Glovo Nigeria Ltd,,850000,581000.0
25/03/2026,POS - COLD STONE CREAMERY IKEJA,4300.0,,576700.0
25/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,30600.0,,546100.0
25/03/2026,POS - CHICKEN REPUBLIC IKEJA,5600.0,,540500.0
26/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,26900.0,,513600.0
26/01/2026,UBER TRIP - LEKKI PHASE 1,3200.0,,510400.0
26/02/2026,POS - COLD STONE CREAMERY IKEJA,3700.0,,506700.0
26/02/2026,POS - PARK N SHOP SUPERMARKET,26700.0,,480000.0
26/02/2026,OPay Transfer In - Chidi Eze,,20000,500000.0
26/03/2026,POS - SPAR SUPERMARKET ONIRU,22500.0,,477500.0
26/03/2026,GLOVO GROCERY DELIVERY,9500.0,,468000.0
26/03/2026,TRF TO COWRYWISE INVESTMENT,27900.0,,440100.0
26/03/2026,POS - PARK N SHOP SUPERMARKET,26700.0,,413400.0
27/01/2026,TRF TO PIGGYVEST SAVINGS,50000,,363400.0
27/01/2026,POS - BARCELOS LEKKI PHASE 1,14300.0,,349100.0
27/01/2026,UBER TRIP - AIRPORT LAGOS,9200.0,,339900.0
27/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,19500.0,,320400.0
27/02/2026,TRF TO PIGGYVEST SAVINGS,50000,,270400.0
27/02/2026,ATM CASH WITHDRAWAL - GTB ATM,22900.0,,247500.0
27/03/2026,UBER TRIP - VICTORIA ISLAND LAGOS,4100.0,,243400.0
28/01/2026,POS - CHICKEN REPUBLIC VI LAGOS,8300.0,,235100.0
28/02/2026,UBER TRIP - VICTORIA ISLAND LAGOS,4500.0,,230600.0
28/02/2026,BOLT RIDE - IKEJA TO LEKKI,2600.0,,228000.0
28/02/2026,POS - PARK N SHOP SUPERMARKET,27500.0,,200500.0
28/03/2026,TRF TO PIGGYVEST SAVINGS,50000,,150500.0
28/03/2026,BOLT RIDE - VI TO IKEJA,4500.0,,146000.0
28/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,28900.0,,117100.0
29/01/2026,POS - MOBIL FILLING STATION,15100.0,,102000.0
29/03/2026,POS PURCHASE - SHOPRITE LEKKI MALL,28900.0,,73100.0
29/03/2026,POS - SPAR SUPERMARKET ONIRU,22100.0,,51000.0
30/01/2026,POS - COLD STONE CREAMERY IKEJA,4800.0,,46200.0
30/01/2026,KONGA ONLINE SHOPPING,11700.0,,34500.0
30/03/2026,POS - CHICKEN REPUBLIC IKEJA,5100.0,,29400.0
31/01/2026,POS PURCHASE - SHOPRITE LEKKI MALL,28700.0,,700.0
31/01/2026,POS - BARCELOS LEKKI PHASE 1,11900.0,,-11200.0
31/01/2026,NIP TRF - BRT BUS TICKET,1200.0,,-12400.0
31/03/2026,POS - BARCELOS LEKKI PHASE 1,12200.0,,-24600.0
